Ad_Hook,Visual_Type,CTA_Text,Audience,Incentive,Total_Spend,Conversions
Scarcity/FOMO,Static Image,Learn More,Established Managers,10% Discount,487.45401188473625,12
Scarcity/FOMO,Static Image,Learn More,Young Professionals,Free Trial Extension,545.0714306409916,25
Scarcity/FOMO,Short Video,Get Started Now,Established Managers,10% Discount,523.1993941811405,25
Benefit-Driven,Short Video,Learn More,Young Professionals,Free Trial Extension,509.86584841970364,39
Benefit-Driven,Short Video,Learn More,Established Managers,10% Discount,465.60186404424365,21
Benefit-Driven,Static Image,Get Started Now,Established Managers,10% Discount,465.59945203362025,9
Benefit-Driven,Static Image,Learn More,Young Professionals,10% Discount,455.80836121681995,11
Benefit-Driven,Static Image,Learn More,Established Managers,Free Trial Extension,536.6176145774936,26
Scarcity/FOMO,Short Video,Learn More,Young Professionals,10% Discount,510.1115011743209,22
Scarcity/FOMO,Static Image,Get Started Now,Young Professionals,10% Discount,520.8072577796046,12
Benefit-Driven,Short Video,Get Started Now,Young Professionals,10% Discount,452.05844942958026,24
Benefit-Driven,Short Video,Get Started Now,Established Managers,Free Trial Extension,546.9909852161994,38
Scarcity/FOMO,Short Video,Learn More,Established Managers,Free Trial Extension,533.2442640800422,39
Benefit-Driven,Static Image,Learn More,Young Professionals,Free Trial Extension,471.2339110678276,27
Benefit-Driven,Static Image,Get Started Now,Young Professionals,Free Trial Extension,468.18249672071005,24
Scarcity/FOMO,Static Image,Get Started Now,Established Managers,Free Trial Extension,468.3404509853434,26
